WORLD POPULATION ANALYSIS DASHBOARD,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total countries,,,,Population share Pie Chart,,,,,,,,Top 10 Countries Bar chart,,,,,,
,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total population,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
8030577153,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Average Population,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
33600741'23,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Population Distribution Histogram,,,,,,,Top 10 Pivot Table,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Row Labels,Sum of Population,,,,,,,,,
,,,,,,,,India,1417492000,,,,,,,,,
,,,,,,,,China,1404890000,,,,,,,,,
,,,,,,,,United States,341784857,,,,,,,,,
,,,,,,,,Indonesia,288315089,,,,,,,,,
,,,,,,,,Pakistan,241499431,,,,,,,,,
,,,,,,,,Nigeria,223800000,,,,,,,,,
,,,,,,,,Brazil,213421037,,,,,,,,,
,,,,,,,,Bangladesh,169828911,,,,,,,,,
,,,,,,,,Russia,146028325,,,,,,,,,
,,,,,,,,Mexico,131150866,,,,,,,,,
,,,,,,,,Grand Total,4578210516,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
